Country Name,Country Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Macao SAR, China",MAC,GDP per capita (current US$),NY.GDP.PCAP.CD,78896.2747485132,84779.4536941057,82998.6361006441,37474.7345945939,45104.8921800265
"Macao SAR, China",MAC,GDP per capita (current LCU),NY.GDP.PCAP.CN,633221.580027842,684382.733401844,669838.002691165,299387.978109756,361088.657703752
"Macao SAR, China",MAC,GDP (constant LCU),NY.GDP.MKTP.KN,423907000000,451059000000,439496000000,200692000000,247926000000
"Macao SAR, China",MAC,GDP (constant 2015 US$),NY.GDP.MKTP.KD,49153906012.5357,52302301429.5785,50961520043.041,23271131888.5223,28748124711.4672
"Macao SAR, China",MAC,GDP per capita (constant LCU),NY.GDP.PCAP.KN,663797.409682607,692880.546735669,662237.645275468,296757.422558308,361088.657703752
"Macao SAR, China",MAC,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,76970.2682119038,80342.5875773682,76789.4065769928,34410.3457997943,41869.8392405949
"Macao SAR, China",MAC,"Population, total",SP.POP.TOTL,638609,650991,663653,676283,686607
"Macao SAR, China",MAC,Population density (people per sq. km of land area),EN.POP.DNST,20734.0584415584,19786.9604863222,20171.8237082067,20555.7142857143,20806.2727272727
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,13176313593.5509,13760033282.2925,14104664678.5063,13051441203.9474,14554754116.5427
Madagascar,MDG,GDP (current LCU),NY.GDP.MKTP.CN,41058842552000,45886302017000,51035216506000,49435649383000,55744385864000
Madagascar,MDG,GDP per capita (current US$),NY.GDP.PCAP.CD,503.498058680237,512.543991506858,512.27966560241,462.404228818383,503.352081190858
Madagascar,MDG,GDP per capita (current LCU),NY.GDP.PCAP.CN,1568955.33563407,1709207.2314642,1853592.71145813,1751473.49414319,1927827.32120904
Madagascar,MDG,GDP (constant LCU),NY.GDP.MKTP.KN,20307791521000,20956494783000,21880934414000,20319145168000,21485386022000
Madagascar,MDG,GDP (constant 2015 US$),NY.GDP.MKTP.KD,12238318933.7165,12629254472.2012,13186360203.1442,12245161113.1284,12947986307.5875
Madagascar,MDG,GDP per capita (constant LCU),NY.GDP.PCAP.KN,776008.67149299,780603.161614005,794712.81453103,719894.34000715,743036.514582603
Madagascar,MDG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,467.655067624663,470.423898266865,478.926961352974,433.838239991494,447.78467591887
Madagascar,MDG,"Population, total",SP.POP.TOTL,26169542,26846541,27533134,28225177,28915653
Madagascar,MDG,Population density (people per sq. km of land area),EN.POP.DNST,44.9803059470608,46.1439343416982,47.3240529391543,48.5135390168443,49.7003317291165
Malawi,MWI,GDP (current US$),NY.GDP.MKTP.CD,8943543677.18899,9880675785.93057,11025371147.1876,12056108778.3125,12602334121.6286
Malawi,MWI,GDP (current LCU),NY.GDP.MKTP.CN,6531224000000,7235940000000,8219853000000,9036385000000,10156208000000
Malawi,MWI,GDP per capita (current US$),NY.GDP.PCAP.CD,500.165547203323,537.932204050438,584.362867276266,622.184591270706,633.609733179475
Malawi,MWI,GDP per capita (current LCU),NY.GDP.PCAP.CN,365257.144570038,393945.235822767,435665.775196574,466344.457500547,510625.426916045
Malawi,MWI,GDP (constant LCU),NY.GDP.MKTP.KN,6531224000000,6818055000000,7189515000000,7247031000000,7446426000000
Malawi,MWI,GDP (constant 2015 US$),NY.GDP.MKTP.KD,9827959688.29237,10259573043.6684,10818533187.4046,10905081272.332,11205123962.9589
Malawi,MWI,GDP per capita (constant LCU),NY.GDP.PCAP.KN,365257.144570038,371194.383152375,381056.160707788,374000.525673114,374385.248436103
Malawi,MWI,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,549.626301700128,558.560452702602,573.400114038594,562.783038786531,563.361956276702
Malawi,MWI,"Population, total",SP.POP.TOTL,17881167,18367883,18867337,19377061,19889742
Malawi,MWI,Population density (people per sq. km of land area),EN.POP.DNST,189.660235468816,194.822687738651,200.12024819686,205.526739499364,210.964594823929
Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,319109094160.343,358788845712.53,365177721021.516,337456163961.211,373832428055.449
Malaysia,MYS,GDP (current LCU),NY.GDP.MKTP.CN,1372309832000,1447759635000,1512737754000,1418490911000,1548898030000
Malaysia,MYS,GDP per capita (current US$),NY.GDP.PCAP.CD,9979.70447282371,11073.9789704691,11132.1027429418,10164.344431073,11134.6229528189
Malaysia,MYS,GDP per capita (current LCU),NY.GDP.PCAP.CN,42917.1302828144,44684.944763109,46114.4016495539,42725.6388578154,46134.0276072996
Malaysia,MYS,GDP (constant LCU),NY.GDP.MKTP.KN,1300769020000,1363766395000,1423951962000,1346249088000,1390643550000
Malaysia,MYS,GDP (constant 2015 US$),NY.GDP.MKTP.KD,333061328477.268,349191778300.005,364602265936.14,344706479641.244,356073661872.224
Malaysia,MYS,GDP per capita (constant LCU),NY.GDP.PCAP.KN,40679.7883374699,42092.5024825404,43407.8494647912,40549.6798749325,41420.4077253641
Malaysia,MYS,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,10416.0416934375,10777.7665213518,11114.5605305734,10382.7274795282,10605.6769579889
Malaysia,MYS,"Population, total",SP.POP.TOTL,31975806,32399271,32804020,33199993,33573874
Malaysia,MYS,Population density (people per sq. km of land area),EN.POP.DNST,97.3240176533252,98.6129082331456,99.8448333586973,101.05004717699,102.188020088267
Maldives,MDV,GDP (current US$),NY.GDP.MKTP.CD,4816426259.51373,5404344159.49959,5726094797.67486,3712604580.32081,5254366310.44801
Maldives,MDV,GDP (current LCU),NY.GDP.MKTP.CN,74110201545.9237,83177380050.7602,88079030673.8162,57104573453.1511,80773786471.8915
Maldives,MDV,GDP per capita (current US$),NY.GDP.PCAP.CD,10194.7461477043,11034.7235971635,11349.8592642235,7216.81637110947,10076.3175303966
Maldives,MDV,GDP per capita (current LCU),NY.GDP.PCAP.CN,156866.242937596,169833.632223997,174584.011896375,111003.801144455,154900.186346892
Maldives,MDV,GDP (constant LCU),NY.GDP.MKTP.KN,75540149802.9726,82087974669.1368,88079030673.8162,59093253323.6977,81363841319.9932
Maldives,MDV,GDP (constant 2015 US$),NY.GDP.MKTP.KD,4711369802.50414,5119751628.95,5493408292.58091,3685591966.2214,5074588096.66896
Maldives,MDV,GDP per capita (constant LCU),NY.GDP.PCAP.KN,159892.959988681,167609.257366162,174584.011896375,114869.533984071,156031.736691603
Maldives,MDV,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,9972.37714365815,10453.6355280567,10888.6445657569,7164.30739218603,9731.55619095909
Maldives,MDV,"Population, total",SP.POP.TOTL,472442,489758,504508,514438,521457
Maldives,MDV,Population density (people per sq. km of land area),EN.POP.DNST,1574.80666666667,1632.52666666667,1681.69333333333,1714.79333333333,1738.19
Mali,MLI,GDP (current US$),NY.GDP.MKTP.CD,15365713048.1993,17070867589.9055,17280250810.0321,17465392764.3706,19309463508.0377
Mali,MLI,GDP (current LCU),NY.GDP.MKTP.CN,8922205000000,9481952937800,10124689257000,10052835647000,10707689833000
Mali,MLI,GDP per capita (current US$),NY.GDP.PCAP.CD,795.682801553765,856.356596550603,840.175746366299,822.906136832132,881.510088733585
Mali,MLI,GDP per capita (current LCU),NY.GDP.PCAP.CN,462018.589581104,475660.238338967,492268.22265151,473653.25578919,488824.384524745
Mali,MLI,GDP (constant LCU),NY.GDP.MKTP.KN,4940444365400,5174941782900,5421070335800,5354095698100,5517535549900
Mali,MLI,GDP (constant 2015 US$),NY.GDP.MKTP.KD,14607651053.629,15301000921.4682,16028741130.4821,15830713976.5248,16313964499.5084
Mali,MLI,GDP per capita (constant LCU),NY.GDP.PCAP.KN,255831.057188892,259599.900779049,263575.561810755,252265.624174285,251884.950100167
Mali,MLI,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,756.428073205064,767.571595521859,779.326624981433,745.885984785402,744.760427319594
Mali,MLI,"Population, total",SP.POP.TOTL,19311355,19934298,20567424,21224040,21904983
Mali,MLI,Population density (people per sq. km of land area),EN.POP.DNST,15.8265147231169,16.3370442308165,16.8559191601308,17.3940451896836,17.952108278219
Malta,MLT,GDP (current US$),NY.GDP.MKTP.CD,13484541925.7714,15404393365.2073,15992378640.0553,15252609039.0749,18087205251.3605
Malta,MLT,GDP (current LCU),NY.GDP.MKTP.CN,11936597419.9444,13044024383.0367,14285608022.074,13353750729.3643,15292623516.7938
Malta,MLT,GDP per capita (current US$),NY.GDP.PCAP.CD,28813.1853396512,31785.8848300917,31727.0070746362,29597.6361628521,34881.2912726609
Malta,MLT,GDP per capita (current LCU),NY.GDP.PCAP.CN,25505.6045417712,26915.4290552312,28340.9739716027,25912.908046394,29491.9224832872
Malta,MLT,GDP (constant LCU),NY.GDP.MKTP.KN,11458054761.1829,12307815018.7903,13176590116.2313,12112188741.255,13601741688.8453
Malta,MLT,GDP (constant 2015 US$),NY.GDP.MKTP.KD,12712865430.6498,13655685833.2782,14619603455.7252,13438635854.6526,15091314827.5875
Malta,MLT,GDP per capita (constant LCU),NY.GDP.PCAP.KN,24483.075308244,25396.3126896608,26140.8122735523,23503.6612150128,26231.0460389352
